pin_id,node_id,image_url,image_width,image_height,available_sizes,description,title,link,pin_url,board_name,pinner_username,dominant_color,is_story_pin,local_image_path
106679084919631426,UGluOjEwNjY3OTA4NDkxOTYzMTQyNg==,https://i.pinimg.com/originals/c1/0f/78/c10f789ba95a5bc0338847e7ff3f3773.jpg,900,1350,170x|236x|474x|736x|orig,The 45 Best Street Style From Milan Fashion Week SS 2026 Days 2 & 3 - FunkyForty,,https://funkyforty.com/the-45-best-street-style-from-milan-fashion-week-ss-2026-days-2-3/,https://www.pinterest.com/pin/106679084919631426/,Fashion inspiration,ccrawfo10,#908d89,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_106679084919631426.jpg
1092545190874673923,UGluOjEwOTI1NDUxOTA4NzQ2NzM5MjM=,https://i.pinimg.com/originals/b6/07/54/b60754050795ba61eb2b7ee65ab78732.jpg,1080,1920,170x|236x|474x|736x|orig,@/_sxxyeon_ on instagram. ꒰ tags :: #girl #ulzzang #namseoyeon #seoyeon #_sxxyeon_ #instagram #insta #ig ꒱,,,https://www.pinterest.com/pin/1092545190874673923/,꒰  seoyeon  ꣑୧ ׁ,mynew0rld_,#6b5837,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_1092545190874673923.jpg
35184440834431219,UGluOjM1MTg0NDQwODM0NDMxMjE5,https://i.pinimg.com/originals/3d/2b/ad/3d2badb959bd75cbd156e4eaacedfe7b.jpg,1080,1350,170x|236x|474x|736x|orig,,"Collection ""Petits sacs""",https://www.camillefournet.com/fr/,https://www.pinterest.com/pin/35184440834431219/,포스터 레퍼,sun3star,#79726f,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_35184440834431219.jpg
396668679697841054,UGluOjM5NjY2ODY3OTY5Nzg0MTA1NA==,https://i.pinimg.com/originals/8e/52/de/8e52deb25ff6ce8c983bd95db271f714.jpg,976,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/396668679697841054/,Style - Heritage,coopersiville,#b29c81,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_396668679697841054.jpg
712553972332782793,UGluOjcxMjU1Mzk3MjMzMjc4Mjc5Mw==,https://i.pinimg.com/originals/84/5b/a1/845ba1c8503ccf5ea14a696ebff08886.jpg,1080,1920,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/712553972332782793/,ootd by Malerysheva,kaer_mo,#c2c0b9,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_712553972332782793.jpg
898327456904316332,UGluOjg5ODMyNzQ1NjkwNDMxNjMzMg==,https://i.pinimg.com/originals/6f/a5/4f/6fa54fa35bb84f12bedf4e30bda9e37e.jpg,1280,1600,170x|236x|474x|736x|orig,daisy choi,@daisychoiii,,https://www.pinterest.com/pin/898327456904316332/,daisy choi,l0v3chu,#b8b4ac,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_898327456904316332.jpg
762163936949133814,UGluOjc2MjE2MzkzNjk0OTEzMzgxNA==,https://i.pinimg.com/originals/07/60/70/0760706644d675c8f332548176cde9b4.jpg,400,566,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/762163936949133814/,STYLING,chikiumm,#b7b7b9,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_762163936949133814.jpg
314407617752102556,UGluOjMxNDQwNzYxNzc1MjEwMjU1Ng==,https://i.pinimg.com/originals/30/76/d1/3076d19cfdc30080936747e6c3ee7b53.jpg,576,1024,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/314407617752102556/,TkTk Photo Inspiration,juliadealmelda,#747a54,True,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_314407617752102556.jpg
483151866246355704,UGluOjQ4MzE1MTg2NjI0NjM1NTcwNA==,https://i.pinimg.com/originals/ea/aa/8d/eaaa8d3c3d882419d0c1502ca20bed08.jpg,467,700,170x|236x|474x|736x|orig,#navy #jk #denim #nike #sneaker,,,https://www.pinterest.com/pin/483151866246355704/,Men's Snap,kengstar,#372d2c,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_483151866246355704.jpg
931260029179411563,UGluOjkzMTI2MDAyOTE3OTQxMTU2Mw==,https://i.pinimg.com/originals/df/30/fd/df30fdc6649d05a0f5748318d7053758.jpg,665,1200,170x|236x|474x|736x|orig,,,,https://www.pinterest.com/pin/931260029179411563/,++,pinterestinkrali,#534836,False,/Users/yoon/Library/CloudStorage/Dropbox/TRUNKROOM/sample-clothes-image/pin_931260029179411563.jpg
